,n_iter,lr,n_layers,solver,score,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
30,5,0.1,4,sgd,f1-score,0.0,0.203861697350696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1135,0.0203861697350696,0.023138302649304
31,5,0.1,4,sgd,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.1135,10000.0,10000.0
32,5,0.1,4,lbfgs,precision,0.0952650978168415,0.0,0.0,0.3871653208669783,0.5,0.14213197969543148,0.0,0.0,0.0,0.0,0.1668,0.11245623983792512,0.11021784958244775
33,5,0.1,4,lbfgs,recall,0.6857142857142857,0.0,0.0,0.901980198019802,0.0010183299389002036,0.09417040358744394,0.0,0.0,0.0,0.0,0.1668,0.1682883217260432,0.1668
34,5,0.1,4,lbfgs,f1-score,0.16728902165795367,0.0,0.0,0.5417781742491823,0.002032520325203252,0.11328388401888065,0.0,0.0,0.0,0.0,0.1668,0.08243836002512198,0.08141843567206598
35,5,0.1,4,lbfgs,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.1668,10000.0,10000.0
36,5,0.01,2,adam,precision,0.0,0.1135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1135,0.01135,0.01288225
37,5,0.01,2,adam,recall,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1135,0.1,0.1135
38,5,0.01,2,adam,f1-score,0.0,0.203861697350696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1135,0.0203861697350696,0.023138302649304
39,5,0.01,2,adam,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.1135,10000.0,10000.0
40,5,0.01,2,sgd,precision,0.9325726141078838,0.5920558239398819,0.7783018867924528,0.7954545454545454,0.9458896982310093,0.7611940298507462,0.9080919080919081,0.90927624872579,0.8060109289617486,0.9375,0.8189,0.8366347684155967,0.8336050094817016
41,5,0.01,2,sgd,recall,0.9173469387755102,0.9718061674008811,0.15988372093023256,0.9356435643564357,0.9256619144602851,0.6860986547085202,0.9488517745302714,0.867704280155642,0.9086242299794661,0.8622398414271556,0.8189,0.81838610867244,0.8189
